Filename,mIoU_Animals_Only
o_1036303_0_semantic.png,0.0000
o_1034681_20_semantic.png,0.6615
o_1035305_7_semantic.png,0.8938
o_1034796_12_semantic.png,0.0000
o_1034668_20_semantic.png,0.6462
o_1034816_12_semantic.png,0.0000
o_1036208_12_semantic.png,0.8357
o_1035082_17_semantic.png,0.6367
o_1035374_0_semantic.png,0.5471
o_1035287_17_semantic.png,0.0000
o_1034484_20_semantic.png,0.0000
o_1035820_17_semantic.png,0.0782
o_1036120_12_semantic.png,0.0000
o_1036026_7_semantic.png,0.2667
o_1035020_0_semantic.png,0.0000
o_1035664_17_semantic.png,0.7157
o_1036185_7_semantic.png,0.0901
o_1035146_17_semantic.png,0.0000
o_1036325_12_semantic.png,0.0976
o_1036049_0_semantic.png,0.0000
o_1034745_20_semantic.png,0.0000
o_1034821_0_semantic.png,0.0000
o_1035919_20_semantic.png,0.7581
o_1035696_0_semantic.png,0.0007
o_1035699_20_semantic.png,0.0141
o_1035806_0_semantic.png,0.0277
o_1035735_0_semantic.png,0.2021
o_1034838_17_semantic.png,0.0000
o_1034850_7_semantic.png,0.0000
o_1034751_17_semantic.png,0.0000
o_1035869_7_semantic.png,0.2408
o_1034763_7_semantic.png,0.0004
o_1035152_20_semantic.png,0.0000
o_1035475_20_semantic.png,0.0000
o_1035562_12_semantic.png,0.0000
o_1035744_7_semantic.png,0.0000
o_1035181_12_semantic.png,0.0000
o_1027181_7_semantic.png,0.0000
o_1035096_20_semantic.png,0.1832
o_1035168_12_semantic.png,0.0000
o_1034429_7_semantic.png,0.8711
o_1035410_7_semantic.png,0.0000
o_1034695_17_semantic.png,0.4928
o_1034594_7_semantic.png,0.0000
o_1035558_20_semantic.png,0.0000
o_1035834_20_semantic.png,0.6995
o_1034446_0_semantic.png,0.0000
o_1035923_12_semantic.png,0.9259
o_1035384_12_semantic.png,0.0000
o_1035293_20_semantic.png,0.0000
o_1034949_7_semantic.png,0.8381
o_1035499_12_semantic.png,0.3243
o_1035970_7_semantic.png,0.4198
o_1035040_20_semantic.png,0.0000
o_1035470_12_semantic.png,0.0002
o_1035157_12_semantic.png,0.0000
o_1035245_20_semantic.png,0.0041
o_1034938_0_semantic.png,0.0000
o_1034885_0_semantic.png,0.0000
