class_name,suffix_0,suffix_7,suffix_12,suffix_17,suffix_20
alligator,0.0000,0.0000,0.0000,0.0000,0.0000
armadillo,0.0000,0.3411,0.3843,0.3153,0.3333
badger,0.0000,0.0000,0.0000,0.0000,0.0000
bat,0.0063,0.0408,0.0857,0.0498,0.0404
bear,0.1158,0.0974,0.1811,0.1675,0.0935
beaver,0.1651,0.0285,0.0667,0.0540,0.0183
bird,0.5664,0.6275,0.6214,0.6003,0.5939
buffalo,0.2154,0.1896,0.1777,0.1765,0.2050
cat,0.0842,0.1448,0.1147,0.1501,0.1166
chipmunk,0.0000,0.0000,0.0002,0.0000,0.0000
cougar,0.0000,0.0000,0.0000,0.0000,0.0000
cattle,0.4411,0.4416,0.3390,0.4517,0.4150
coyote,0.0000,0.0000,0.0000,0.0000,0.0000
deer,0.0032,0.0115,0.0037,0.0018,0.0027
dog,0.4119,0.5321,0.4880,0.5164,0.5323
donkey,0.0223,0.0239,0.0280,0.0281,0.0247
elk,0.0044,0.0021,0.0003,0.0002,0.0012
fox,0.0005,0.0053,0.0005,0.0006,0.0021
frog_toad,0.0000,0.0220,0.0000,0.0000,0.0000
gilamonster,0.0000,0.0000,0.0000,0.0000,0.0000
goat,0.0416,0.0368,0.0441,0.0348,0.0475
horse,0.7361,0.7590,0.7703,0.7679,0.7551
horsemule,0.0112,0.0090,0.0105,0.0097,0.0102
iguana,0.4994,0.5561,0.5039,0.5511,0.5356
javelina,0.1446,0.1440,0.1333,0.1582,0.1499
moose,0.2899,0.3508,0.2603,0.2998,0.3172
pig,0.1415,0.0929,0.1982,0.2090,0.0719
possum,0.0040,0.0169,0.0062,0.0004,0.0022
pronghorn,0.0187,0.0088,0.0271,0.0153,0.0071
rabbit,0.0000,0.0000,0.0000,0.0000,0.0000
raccoon,0.0000,0.0000,0.0000,0.0000,0.0000
rat,0.0098,0.0621,0.0425,0.0457,0.0338
sheep,0.2427,0.3105,0.2130,0.2316,0.2342
skunk,0.0000,0.0105,0.0028,0.0124,0.0000
snake,0.1848,0.3065,0.3073,0.2571,0.3053
squirrel,0.0000,0.0000,0.0000,0.0000,0.0000
turtle,0.1150,0.0047,0.0000,0.0000,0.1307
wolf,0.0000,0.0000,0.0002,0.0001,0.0002
mIoU (animal classes only),0.1178,0.1362,0.1319,0.1344,0.1310
n_images_matched,1073,1073,1073,1073,1073
