class_name,suffix_0,suffix_7,suffix_12,suffix_17,suffix_20
alligator,0.0000,0.0000,0.0000,0.0000,0.0000
armadillo,0.0000,0.3594,0.4156,0.3789,0.4313
badger,0.0000,0.0000,0.0000,0.0000,0.0000
bat,0.0045,0.0038,0.0097,0.0048,0.0300
bear,0.0440,0.0069,0.0164,0.0101,0.0281
bearblack,0.0104,0.0000,0.0075,0.0004,0.0000
beaver,0.0023,0.0025,0.0085,0.0052,0.0120
bighornram,0.0000,0.0000,0.0000,0.0000,0.0000
bluejay,0.0000,0.0000,0.0000,0.0000,0.0000
boar,0.0000,0.0000,0.0000,0.0000,0.0000
buck,0.0020,0.1014,0.0422,0.0278,0.0227
buffalo,0.3707,0.3841,0.2584,0.3347,0.4130
bull,0.0202,0.0291,0.0253,0.0253,0.0270
californiacondor,0.0000,0.0000,0.0000,0.0000,0.0000
cardinal,0.0014,0.0000,0.0052,0.0056,0.0000
carolinaparakeet,0.0000,0.0000,0.0000,0.0000,0.0000
cat,0.0544,0.1364,0.1151,0.0639,0.1169
cedarwaxwing,0.0000,0.0000,0.0000,0.0000,0.0000
chicken,0.0001,0.0041,0.0004,0.0000,0.0028
chipmunk,0.0000,0.0000,0.0001,0.0000,0.0000
cormorant,0.0000,0.0000,0.0000,0.0000,0.0000
cougar,0.0000,0.0000,0.0000,0.0000,0.0000
cow,0.0681,0.0300,0.0253,0.0499,0.0605
coyote,0.0000,0.0000,0.0000,0.0000,0.0000
cranewhooping,0.0000,0.0000,0.0000,0.0000,0.0000
crow,0.0022,0.0003,0.0001,0.0007,0.0019
deer,0.0032,0.0003,0.0016,0.0005,0.0027
dogamericanfoxhound,0.0000,0.0000,0.0000,0.0000,0.0000
dogaustraliansheperd,0.0012,0.0462,0.0624,0.0060,0.0063
dogbluetickcoonhound,0.0000,0.0000,0.0000,0.0000,0.0000
dogcatahoulacur,0.0000,0.0000,0.0000,0.0000,0.0000
dogchesbayretriever,0.0794,0.0768,0.0514,0.0936,0.0782
dogcollie,0.1509,0.0490,0.0016,0.0036,0.0887
doghobo,0.0000,0.0000,0.0000,0.0000,0.0000
doghound,0.0000,0.0000,0.0000,0.0000,0.0000
doghusky,0.0045,0.0326,0.0055,0.0083,0.0076
doglab,0.0000,0.0000,0.0000,0.0000,0.0000
dogpoodle,0.1640,0.2067,0.0289,0.0012,0.1666
donkey,0.0214,0.0245,0.0283,0.0295,0.0255
duck,0.0000,0.0226,0.0320,0.0173,0.0000
eagle,0.0001,0.0001,0.0001,0.0004,0.0000
egret,0.0000,0.0006,0.0005,0.0000,0.0000
elk,0.0003,0.0003,0.0000,0.0000,0.0010
fox,0.0003,0.0024,0.0010,0.0018,0.0023
frogbull,0.0000,0.0000,0.0000,0.0000,0.0000
gilamonster,0.0000,0.0000,0.0000,0.0000,0.0000
goat,0.0312,0.0359,0.0381,0.0267,0.0377
goosecanada,0.0000,0.0000,0.0000,0.0000,0.0000
hawk,0.0000,0.0016,0.0001,0.0008,0.0010
heron,0.0001,0.0011,0.0009,0.0005,0.0008
horse_americanpaint,0.0000,0.0000,0.0000,0.0000,0.0000
horse_americanstandardbred,0.0000,0.0000,0.0000,0.0000,0.0000
horse_andalusian,0.0000,0.0000,0.0000,0.0000,0.0000
