=== BINARY METRICS ===
Metric,IoU
Binary Background,0.9992
Binary Foreground (All Animals),0.8147
Binary Overall mIoU,0.9069

=== MULTI-CLASS ANIMAL METRICS ===
class_name,IoU
alligator,0.0000
armadillo,0.2769
badger,0.0000
bat,0.0439
bear,0.1319
beaver,0.0659
bird,0.6018
buffalo,0.1916
cat,0.1218
chipmunk,0.0000
cougar,0.0000
cattle,0.4117
coyote,0.0000
deer,0.0044
dog,0.4964
donkey,0.0252
elk,0.0016
fox,0.0019
frog_toad,0.0044
gilamonster,0.0000
goat,0.0408
horse,0.7578
horsemule,0.0101
iguana,0.5294
javelina,0.1458
moose,0.3036
pig,0.1512
possum,0.0055
pronghorn,0.0134
rabbit,0.0000
raccoon,0.0000
rat,0.0389
sheep,0.2438
skunk,0.0057
snake,0.2746
squirrel,0.0000
turtle,0.0471
wolf,0.0001
Animal-only mIoU,0.1302
