=== BINARY METRICS ===
Metric,IoU
Binary Background,0.9986
Binary Foreground (All Animals),0.7236
Binary Overall mIoU,0.8611

=== MULTI-CLASS ANIMAL METRICS ===
class_name,IoU
alligator,0.0000
armadillo,0.3179
badger,0.0000
bat,0.0101
bear,0.0212
bearblack,0.0036
beaver,0.0061
bighornram,0.0000
bluejay,0.0000
boar,0.0000
buck,0.0368
buffalo,0.3459
bull,0.0254
californiacondor,0.0000
cardinal,0.0029
carolinaparakeet,0.0000
cat,0.0987
cedarwaxwing,0.0000
chicken,0.0013
chipmunk,0.0000
cormorant,0.0000
cougar,0.0000
cow,0.0425
coyote,0.0000
cranewhooping,0.0000
crow,0.0011
deer,0.0018
dogamericanfoxhound,0.0000
dogaustraliansheperd,0.0263
dogbluetickcoonhound,0.0000
dogcatahoulacur,0.0000
dogchesbayretriever,0.0748
dogcollie,0.0585
doghobo,0.0000
doghound,0.0000
doghusky,0.0118
doglab,0.0000
dogpoodle,0.1099
donkey,0.0255
duck,0.0145
eagle,0.0002
egret,0.0002
elk,0.0004
fox,0.0015
frogbull,0.0000
gilamonster,0.0000
goat,0.0339
goosecanada,0.0000
hawk,0.0007
heron,0.0007
horse_americanpaint,0.0000
horse_americanstandardbred,0.0000
horse_andalusian,0.0000
horse_appaloosa,0.0000
horse_arabian,0.1052
horse_ardennes,0.0048
horse_belgian,0.0000
horse_dutchwarmblood,0.0035
horse_hungarianhalfbred,0.0000
horse_kentuckysaddle,0.0000
horse_missourifoxtrotter,0.0002
horse_morgan,0.0009
horse_mustang,0.0000
horse_nokota,0.0000
horse_shire,0.0001
horse_suffolkpunch,0.0017
horse_tennesseewalker,0.0000
horse_thoroughbred,0.0004
horse_turkoman,0.0000
horsemule,0.0007
iguana,0.5411
javelina,0.1480
loon,0.0000
moose,0.2982
muskrat,0.0000
oriole,0.0000
owl,0.0198
ox,0.3816
panther,0.0000
parrot,0.0008
pelican,0.0006
pheasant,0.0000
pig,0.1467
pigeon,0.0088
possum,0.0030
prairiechicken,0.0002
pronghorn,0.0135
quail,0.0000
rabbit,0.0000
raccoon,0.0000
rat,0.0372
raven,0.0003
redfootedbooby,0.0000
robin,0.0108
rooster,0.3524
roseatespoonbill,0.4892
seagull,0.0002
sheep,0.2689
skunk,0.0051
snake,0.1011
snakeblacktailrattle,0.0000
snakeferdelance,0.0001
snakeredboa,0.1297
songbird,0.0021
sparrow,0.0008
squirrel,0.0000
toad,0.0000
turkey,0.0000
turtlesnapping,0.0000
vulture,0.0005
wolf,0.0005
woodpecker,0.0019
Animal-only mIoU,0.0389
